"정본CSV행번호","우선순위","업소명","시도","시군구","소재지도로명주소","할인정보","적용대상","이용조건","인증방법","기존출처유형","기존출처URL","기존최근확인일","재확인기준","검증결과","새출처유형","새출처URL","새최근확인일","제안혜택상태","정본반영여부","검토메모"
"15","P1","전주콩나물 해장국&지지미 방화점","서울특별시","강서구","서울특별시 강서구양천로6길28(방화동)","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-23~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"16","P1","칼스토랑 방화점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (b106)))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-25~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"17","P1","포아이니 개화산역점","서울특별시","강서구","서울특별시 강서구양천로28(방화동, (본관동 104호))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-09-23~","동원훈련이수, 모범예비군, 명문가증, 복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"18","P1","그로우빈스","서울특별시","강서구","서울특별시 강서구양천로18길16(방화동, (1층 101호))","서비스 이용료의 10% 할인 **훈련을 마친 병사는 아메리카노 1잔 증정 (1인 1잔 한정)","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-07~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"19","P1","밀알카페","서울특별시","강서구","서울특별시 강서구강서로33길16(화곡동, (1층))","모든 메뉴 한 잔 당 무조건 500원 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-16~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"23","P1","무한정수제돈까스","서울특별시","광진구","서울특별시 광진구군자로102(군자동, (1층))","서비스 이용료의 30% 할인","복무중인사람","없음 | 혜택기간: 2025-04-08~2027-04-08","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"24","P1","탄토탄토","서울특별시","광진구","서울특별시 광진구아차산로33길49(화양동, (2층))","평일 점심에 한하여 서비스 이용료의 20% 할인","복무중인사람","없음 | 혜택기간: 2025-02-27~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"25","P1","보드게임카페 레드버튼 건대점","서울특별시","광진구","서울특별시 광진구동일로22길81(화양동)","서비스 이용료의 50% 할인 (평일만 사용가능)","복무중인사람","없음 | 혜택기간: 2025-05-28~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"27","P1","국수집","서울특별시","동대문구","서울특별시 동대문구한천로14길63(장안동, (1층))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군","없음 | 혜택기간: 2025-04-10~2027-04-10","동원훈련이수증,모범예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"28","P1","돈벼락김치삼겹살 장안동본점","서울특별시","동대문구","서울특별시 동대문구장한로26길24(장안동, (1층))","서비스 이용료의 10% 할인","복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-07~","복무확인서,병역명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"29","P1","서울쉬퐁","서울특별시","동대문구","서울특별시 동대문구한천로63길17(이문동, (1층))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-04-11~2027-04-11","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"30","P1","자연석 돌구이 생삼겹살 한우","서울특별시","동작구","서울특별시 동작구여의대방로202(대방동, 1층)","서비스이용료(식대) 5% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-20~2026-11-20","동원훈련 이수증, 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"31","P1","한제소곱창전골 신대방삼거리역점","서울특별시","동작구","서울특별시 동작구여의대방로22길121- 0(신대방동, 상가동 1층 1444호, 1445호)","서비스이용료의 5%할인(주류제외)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-02-13~","동원훈련이수증, 모범예비군증, 복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"32","P1","에이치플레이스","서울특별시","동작구","서울특별시 동작구여의대방로36길10(대방동, (1층))","서비스 이용료(음료) 20% 할인","당해연도 동원훈련 이수자, 모범예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증, 복무 확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"33","P1","카피바라 커피랩","서울특별시","동작구","서울특별시 동작구대방동23길36(대방동, (1층))","서비스 이용료의 20% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-09-09~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"35","P1","연과점 하루","서울특별시","마포구","서울특별시 마포구동교로16길12(서교동, (1층))","서비스 이용료의 5% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-12-21~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"37","P1","예가미용실","서울특별시","서초구","서울특별시 서초구남부순환로356길55(양재동, (1층))","서비스 이용료의 20% 할인 **단골고객(3년이상이용)은 입대 및 전역시 각 1회(총2회) 면제","복무중인사람","없음 | 혜택기간: 2024-09-04~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"38","P1","옐로치킨07&바로돈까스","서울특별시","성북구","서울특별시 성북구아리랑로19길48(정릉동, (1츧))","서비스 이용료의 20% 할인","복무중인사람","없음 | 혜택기간: 2025-04-08~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"40","P1","GTS버거 문래점","서울특별시","영등포구","서울특별시 영등포구문래로151(문래동3가)","서비스 이용료의 10% 할인 *최소주문금액 : 12,000원 **다른 할인과 중복 적용 불가","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-12-12~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"41","P1","다함압구정김밥","서울특별시","영등포구","서울특별시 영등포구여의대방로197(신길동)","서비스 이용료의 10% 할인","당해연도 동원훈련 이수자, 모범 예비군, 복무중인 사람(현역병, 사회복무요원, 전문​∙산업기능요원)","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증, 복무 확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"42","P1","문경밥상","서울특별시","영등포구","서울특별시 영등포구여의대방로47라길31(신길동)","서비스(식대)10% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-13~2026-11-13","동원훈련 이수증 및 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"43","P1","미각식당","서울특별시","영등포구","서울특별시 영등포구가마산로89길3(신길동, 1층)","서비스 이용료의 10% 할인","당해연도 동원훈련 이수자, 모범 예비군","없음 | 혜택기간: 2023-11-10~2026-11-10","동원훈련 이수증, 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"44","P1","마우나커피","서울특별시","영등포구","서울특별시 영등포구여의대방로43길11- 5(신길동, (1층))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-08-19~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"45","P1","브레드05","서울특별시","영등포구","서울특별시 영등포구여의대방로43나길4(신길동)","제품 5만원 이상 구입시 사은품 제공","당해연도 동원훈련 이수자, 모범 예비군","제한없음 | 혜택기간: 2023-09-27~","동원훈련 이수증, 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"46","P1","요거프레소 대방점","서울특별시","영등포구","서울특별시 영등포구가마산로587(신길동)","서비스 이용료의 5% 할인","당해연도 동원훈련 이수자, 모범예비군, 복무중인사람(현역병, 사회복무요원, 전문​∙산업기능요원)","없음 | 혜택기간: 2023-10-10~","동원훈련 이수증, 모범 예비군증, 복무 확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"47","P1","카페보니또 영등포1호점","서울특별시","영등포구","서울특별시 영등포구여의대방로203(신길동)","서비스 이용료 20% 할인","당해연도 동원훈련 이수자, 모범예비군","제한없음 | 혜택기간: 2023-09-26~2026-09-26","동원훈련 이수증, 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"48","P1","해군호텔 블랙앤브라운","서울특별시","영등포구","서울특별시 영등포구가마산로538(신길동, 해군호텔 1층)","서비스 이용료의 5% 할인","당해연도 동원훈련 이수자, 모범예비군","없음 | 혜택기간: 2023-11-01~2026-11-01","동원훈련 이수증, 모범 예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"50","P1","아노브 이태원","서울특별시","용산구","서울특별시 용산구이태원로20가길7- 5(이태원동, (1층))","서비스 이용료의 10% 할인","복무중인사람, 병역명문가","없음 | 혜택기간: 2025-06-05~","복무확인서, 병역명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"51","P1","피그가든","서울특별시","용산구","서울특별시 용산구한강대로270(남영동)","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2025-02-26~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"53","P1","디얼스 이마트은평점","서울특별시","은평구","서울특별시 은평구은평로111(응암동, (이마트 8층 디얼스 미용실))","서비스 이용료의 30% 할인 *부분시술포함 할인적용, 2명이상 동시 시술시 10% 추가할인","복무중인사람","없음 | 혜택기간: 2024-09-11~2026-09-11","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"54","P1","수헤어","서울특별시","은평구","서울특별시 은평구가좌로12길15(신사동, (은평신사 두산위브 2차 상가))","서비스 이용료의 20% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-09-09~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"56","P1","엘룬헤어","서울특별시","은평구","서울특별시 은평구연서로29길7(갈현동, (2층))","서비스 이용료의 10% 할인","복무중인사람","없음 | 혜택기간: 2024-08-11~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"57","P1","솔찬 장칼국수 구파발본점","서울특별시","은평구","서울특별시 은평구북한산로2(진관동, (금호어울림10단지 1028동 1층상가 102호))","서비스 이용료의 10% 할인","동원훈련 이수자, 모범예비군, 복무중인사람, 병역명문가","없음 | 혜택기간: 2024-09-19~","동원훈련이수,모범예비군,명문가증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"58","P1","인생돈카츠 불광본점","서울특별시","은평구","서울특별시 은평구통일로65길12- 10(대조동, (1층))","서비스 이용료의 10% 할인","복무중인사람","없음 | 혜택기간: 2024-08-23~","복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"59","P1","명동케이갈비","서울특별시","중구","서울특별시 중구명동3길52, 3층 (명동1가)","대상자 본인에게만 식사금액 10%할인 (주류는 할인 제외, 다른 할인 및 쿠폰과 중복 적용 불가능)","복무중인 사람","없음 | 혜택기간: 2026-07-18~2999-12-31","현역병으로 복무하고 있다는 사실을 증빙할 자료","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"60","P1","횃불식당","경기도","가평군","경기도 가평군가평읍용추로171번길16(가평읍승안리, 횃불식당)","서비스 이용료의 5% 할인","예비군(당해연도 병무청 주관 동원훈련 이수자 및 병무청 모범 예비군 선발자),복무중인 사람,병역명문가","제한없음 | 혜택기간: 2024-08-14~2026-12-31","당해년도 동원훈련이수증, 복무확인서, 병역명문가","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"61","P1","플로레카페","경기도","가평군","경기도 가평군청평면에덴벚꽃길39- 1(청평면상천리)","서비스 이용료의 10% 할인","예비군(당해연도 병무청 주관 동원훈련 이수자 및 병무청 모범 예비군 선발자),복무중인 사람,병역명문가","제한없음 | 혜택기간: 2023-11-23~","당해년도 동원훈련이수증, 복무확인서, 병역명문가","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"62","P1","송화","경기도","고양시","경기도 고양시 덕양구수역이길25(성사동)","서비스 이용료의 5% 할인 세부 증빙자료 : 당해연도 동원훈련이수증,모범예비군증,복무확인서,병역명문가증","예비군(당해연도 병무청 주관 동원훈련 이수자 및 병무청 모범 예비군 선발자),복무중인 사람,병역명문가","없음 | 혜택기간: 2025-09-19~","당해연도 동원훈련이수증,모범예비군증,복무확인서","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"63","P1","달려라행복이 달행이네 과일&음료","경기도","고양시","경기도 고양시 덕양구토당로104번길22- 191층 (토당동)","서비스 이용료의 5% 할인","예비군(당해연도 병무청 주관 동원훈련 이수자 및 병무청 모범 예비군 선발자),복무중인 사람,병역명문가","제한없음 | 혜택기간: 2024-08-14~2026-12-31","당해년도 동원훈련이수증, 복무확인서, 병역명문가","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"64","P1","순헤어","경기도","과천시","경기도 과천시별양로28B동1069호(원문동, 슈르상가)","서비스 이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-08-05~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"65","P1","오신우헤어","경기도","과천시","경기도 과천시별양상가2로353동204호(별양동)","서비스 이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-14~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"66","P1","자스 아일랜드","경기도","과천시","경기도 과천시별양로28B동1089호1층 (원문동, 건물후면 GS편의점 옆)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-09-19~","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"67","P1","만나떡볶이","경기도","과천시","경기도 과천시별양상가2로35118호1층 (별양동)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-08-12~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"68","P1","메종카소","경기도","과천시","경기도 과천시관문로92A동216호(중앙동)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-05~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"69","P1","바른국수 둥이네","경기도","과천시","경기도 과천시별양상가로714호지하1층 (별양동, 벽산빌딩)","서비스 이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-12~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"70","P1","스톨커피","경기도","과천시","경기도 과천시뒷골2로1(과천동)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-11~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"71","P1","카페공간","경기도","과천시","경기도 과천시과천대로7길20150호B층 (갈현동, 스마트케이)","서비스 이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-09-19~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
